E,F,G,H,I,J,K
126074,1,1,3,3,29,842769
402068,1,1,3,3,58,842770
80222,2,2,0,0,28,842771
246050,1,1,0,0,46,842772
104014,1,1,0,0,63,842773
397323,1,1,3,3,49,842774
299066,2,2,3,3,26,842775
438387,2,2,2,2,27,842776
299069,2,2,3,3,23,842777
431838,1,1,0,0,44,842778
30048,1,1,0,0,22,842779
389076,1,1,0,0,30,842780
297925,1,1,0,0,73,842781
56762,1,1,0,0,44,842782
160026,2,2,0,0,57,842783
31699,2,2,0,0,62,842784
157415,2,2,0,0,49,842785
351765,2,2,0,0,94,842786
57570,1,1,3,3,62,842787
354839,1,1,0,0,52,842788
399404,2,2,0,0,31,842789
50684,2,2,0,0,53,842790
303130,2,2,0,0,60,842791
12396,2,2,0,0,61,842792
451036,1,1,2,2,69,842793
145609,1,1,2,2,47,842794
124859,1,1,2,2,45,842795
7591,1,1,0,0,54,842796
118544,2,2,3,3,44,842797
434719,1,1,0,0,44,842798
32996,1,1,3,3,47,842799
61530,2,1,3,3,59,842800
110852,1,1,0,0,23,842801
23438,2,1,0,0,54,842802
297290,2,2,2,2,38,842803
456375,1,1,3,3,86,842804
119237,2,2,3,3,39,842805
57206,1,1,0,0,24,842806
116186,2,1,0,0,53,842807
354028,1,1,0,0,22,842808
409297,1,1,2,2,28,842809
95695,1,1,3,3,29,842810
420033,2,1,2,2,22,842811
72788,1,1,0,0,66,842812
265554,2,1,2,2,22,842813
55335,1,1,2,2,29,842814
162917,1,1,0,0,24,842815
273911,1,1,2,2,43,842816
409144,1,1,0,0,30,842817
11933,2,1,3,3,41,842818
165493,2,1,3,3,36,842819
32449,2,1,3,3,43,842820
50607,2,1,3,3,39,842821
348043,1,1,3,3,44,842822
231689,1,1,0,0,62,842823
142744,1,1,2,2,28,842824
11865,2,1,3,3,59,842825
25732,2,2,3,3,56,842826
33496,2,1,2,2,59,842827
359273,2,2,2,2,46,842828
184703,2,2,3,3,66,842829
348809,2,2,0,0,53,842830
116186,1,1,0,0,55,842831
89220,1,1,3,3,25,842832
154503,1,1,2,2,57,842833
431327,1,1,2,2,51,842834
239735,1,1,0,0,24,842835
53805,1,1,0,0,23,842836
29757,1,1,3,3,64,842837
134539,1,1,3,3,76,842838
144646,1,1,0,0,47,842839
252142,1,1,2,2,55,842840
181609,1,1,3,3,23,842841
360028,1,1,2,2,46,842842
398531,2,1,2,2,54,842843
7591,1,1,3,3,49,842844
95683,1,1,3,3,69,842845
417085,1,1,3,3,69,842846
299891,2,2,3,3,46,842847
45760,1,1,0,0,55,842848
463141,2,2,3,3,33,842849
231017,1,1,3,3,62,842850
252906,2,1,0,0,24,842851
298221,2,2,3,3,27,842852
378186,2,2,3,3,34,842853
323649,2,2,3,3,32,842854
184776,1,1,2,2,24,842855
73142,1,1,2,2,39,842856
180132,1,1,2,2,66,842857
61418,2,1,2,2,60,842858
463141,1,1,3,3,58,842859
116010,1,1,3,3,27,842860
321137,2,1,3,3,39,842861
182835,2,2,3,3,65,842862
431447,2,2,0,0,65,842863
46182,2,2,2,2,35,842864
115678,2,1,3,3,39,842865
84150,1,1,0,0,43,842866
430706,2,1,0,0,39,842867
248438,1,1,2,2,72,842868
27302,1,1,0,0,22,842869
226492,2,1,3,3,40,842870
298051,1,1,3,3,63,842871
444994,1,1,2,2,25,842872
254898,1,1,3,3,29,842873
381213,2,1,3,3,24,842874
259345,1,1,0,0,42,842875
383632,2,1,0,0,62,842876
240825,2,1,0,0,30,842877
207264,2,2,2,2,41,842878
23127,2,2,0,0,54,842879
161149,2,2,0,0,61,842880
73575,1,1,2,2,23,842881
365065,2,2,3,3,65,842882
61238,2,2,2,2,86,842883
61238,2,2,2,2,83,842884
274547,2,2,2,2,22,842885
172544,2,2,0,0,38,842886
306655,2,2,0,0,68,842887
86569,2,2,3,3,25,842888
251212,2,2,3,3,37,842889
367378,2,2,2,2,34,842890
74049,2,2,3,3,34,842891
172843,1,1,3,3,32,842892
371837,1,1,2,2,44,842893
95908,2,2,2,2,25,842894
48204,1,1,0,0,40,842895
299059,2,2,0,0,41,842896
446649,2,2,3,3,26,842897
339862,2,2,3,3,24,842898
364105,2,2,3,3,32,842899
305406,2,2,2,2,52,842900
217711,2,2,0,0,66,842901
286928,2,2,0,0,42,842902
45626,1,1,2,2,54,842903
109434,1,1,3,3,22,842904
112841,1,1,0,0,23,842905
244202,1,1,2,2,29,842906
56407,1,1,3,3,22,842907
240782,2,1,0,0,67,842908
155913,1,1,0,0,45,842909
29396,1,1,3,3,23,842910
126684,2,1,3,3,25,842911
57279,1,1,3,3,82,842912
245177,1,1,2,2,47,842913
180619,1,1,0,0,28,842914
283355,1,1,3,3,22,842915
55672,2,1,2,2,73,842916
356733,1,1,0,0,69,842917
43225,2,2,2,2,80,842918
263429,2,2,0,0,61,842919
160413,2,2,2,2,78,842920
52301,2,2,3,3,40,842921
349525,2,1,3,3,74,842922
76333,1,1,3,3,35,842923
323645,1,1,3,3,47,842924
84501,1,1,0,0,29,842925
232244,1,1,2,2,25,842926
31555,2,1,2,2,26,842927
239403,1,1,0,0,33,842928
263808,2,1,0,0,73,842929
239898,1,1,3,3,57,842930
287114,2,1,3,3,24,842931
16458,1,1,0,0,49,842932
163196,1,1,0,0,58,842933
95694,2,1,3,3,28,842934
383632,2,1,0,0,61,842935
96544,1,1,2,2,70,842936
201003,1,1,3,3,22,842937
162815,2,1,0,0,51,842938
52382,1,1,3,3,65,842939
370384,1,1,3,3,24,842940
66851,1,1,3,3,63,842941
50792,2,1,3,3,57,842942
43250,1,1,3,3,27,842943
71854,2,2,2,2,31,842944
40756,1,1,0,0,23,842945
160378,2,2,3,3,23,842946
58696,2,2,3,3,31,842947
263808,1,1,0,0,76,842948
16069,1,1,0,0,80,842949
381578,2,2,0,0,52,842950
239164,2,2,0,0,49,842951
244957,2,2,3,3,33,842952
402139,2,1,0,0,22,842953
81626,1,1,2,2,39,842954
176431,1,1,2,2,22,842955
9050,1,1,3,3,22,842956
382974,2,1,3,3,23,842957
389076,2,1,0,0,29,842958
151645,1,1,3,3,54,842959
58785,1,1,0,0,41,842960
405058,2,2,0,0,59,842961
405058,2,2,0,0,57,842962
68138,2,2,0,0,58,842963
160773,2,2,2,2,32,842964
200984,2,1,0,0,45,842965
64507,2,2,0,0,69,842966
24896,1,1,3,3,56,842967
319527,1,1,2,2,23,842968
257395,1,1,2,2,38,842969
265426,2,2,0,0,46,842970
353142,2,2,3,3,36,842971
398656,2,2,3,3,52,842972
19016,2,2,3,3,62,842973
452651,2,2,0,0,87,842974
136045,2,1,0,0,22,842975
41476,1,1,3,3,71,842976
245989,2,1,0,0,23,842977
13351,1,1,0,0,65,842978
164173,2,1,0,0,58,842979
34889,2,2,2,2,37,842980
94923,2,2,0,0,61,842981
96545,2,1,2,2,70,842982
122401,2,1,3,3,35,842983
70048,1,1,3,3,43,842984
219337,1,1,2,2,71,842985
145574,1,1,3,3,24,842986
134319,1,1,2,2,47,842987
98655,2,1,0,0,22,842988
39121,2,1,0,0,33,842989
263542,2,1,3,3,22,842990
169137,1,1,3,3,65,842991
18820,1,1,3,3,28,842992
429162,2,1,0,0,39,842993
381191,1,1,0,0,23,842994
382136,1,1,3,3,33,842995
263403,1,1,3,3,29,842996
18707,1,1,0,0,85,842997
95143,1,1,0,0,57,842998
362490,1,1,2,2,42,842999
433308,1,1,2,2,31,843000
58845,1,1,3,3,22,843001
85338,1,1,3,3,69,843002
93459,2,1,2,2,58,843003
75054,1,1,3,3,22,843004
242109,2,2,3,3,22,843005
73869,1,1,3,3,82,843006
382136,1,1,3,3,32,843007
178996,1,1,2,2,64,843008
156694,1,1,3,3,63,843009
119723,1,1,3,3,29,843010
89928,1,1,3,3,30,843011
301144,1,1,3,3,70,843012
344348,2,2,0,0,37,843013
191454,2,2,3,3,51,843014
69769,2,1,0,0,27,843015
257811,1,1,0,0,67,843016
111137,1,1,0,0,63,843017
83022,1,1,2,2,39,843018
370948,2,2,3,3,24,843019
286641,2,2,3,3,49,843020
346202,1,1,3,3,37,843021
85329,2,1,3,3,81,843022
56946,1,1,2,2,22,843023
188674,1,1,3,3,55,843024
177410,2,2,2,2,37,843025
62833,2,2,2,2,67,843026
162866,2,2,2,2,49,843027
63379,2,2,3,3,84,843028
397443,2,2,2,2,28,843029
48497,2,2,0,0,45,843030
49875,2,2,2,2,48,843031
157559,2,2,0,0,30,843032
381733,2,2,3,3,30,843033
267106,2,2,0,0,69,843034
356597,2,2,2,2,79,843035
143664,2,1,2,2,38,843036
453326,2,2,3,3,51,843037
442465,1,1,0,0,39,843038
219263,1,1,2,2,49,843039
306655,1,1,0,0,25,843040
77710,1,1,0,0,25,843041
88444,1,1,1,1,25,843042
108357,1,1,0,0,80,843043
169220,1,1,0,0,67,843044
339326,1,1,0,0,57,843045
30688,1,1,3,3,54,843046
248661,1,1,3,3,22,843047
167462,1,1,2,2,23,843048
96992,1,1,3,3,47,843049
51732,1,1,3,3,22,843050
173929,1,1,3,3,23,843051
345303,1,1,0,0,64,843052
315815,2,1,0,0,47,843053
114813,1,1,3,3,51,843054
196031,2,2,2,2,22,843055
361499,2,1,0,0,80,843056
31685,1,1,3,3,22,843057
85276,1,1,3,3,28,843058
381578,1,1,0,0,52,843059
309959,1,1,2,2,85,843060
381578,1,1,2,2,68,843061
382598,2,1,3,3,32,843062
160293,2,1,2,2,28,843063
238640,2,2,3,3,31,843064
42803,1,1,2,2,33,843065
308024,2,1,0,0,27,843066
8662,2,2,0,0,62,843067
298610,1,1,0,0,54,843068
24004,2,1,0,0,52,843069
137280,1,1,3,3,31,843070
195572,1,1,3,3,50,843071
98253,2,1,3,3,39,843072
456321,1,1,0,0,90,843073
19813,2,1,2,2,23,843074
71316,1,1,2,2,27,843075
269745,2,1,3,3,59,843076
313843,1,1,2,2,22,843077
347736,2,2,0,0,40,843078
226024,2,2,0,0,29,843079
104752,2,2,0,0,53,843080
364551,2,2,0,0,76,843081
163830,2,2,3,3,28,843082
238661,2,2,2,2,64,843083
24283,2,1,2,2,39,843084
229480,2,1,3,3,84,843085
435674,1,1,2,2,22,843086
257323,1,1,0,0,48,843087
70255,1,1,3,3,36,843088
229864,1,1,3,3,22,843089
381677,2,1,0,0,49,843090
185453,2,1,3,3,29,843091
279591,2,2,3,3,23,843092
168420,1,1,0,0,58,843093
225087,2,2,2,2,45,843094
129140,2,2,3,3,52,843095
94923,2,1,3,3,38,843096
115515,2,2,2,2,24,843097
63379,2,2,3,3,84,843098
21675,2,2,0,0,69,843099
278469,2,2,3,3,81,843100
168420,2,1,0,0,60,843101
238332,1,1,2,2,22,843102
67973,1,1,0,0,22,843103
317809,2,2,0,0,66,843104
88311,1,1,3,3,22,843105
266269,2,1,2,2,22,843106
355230,2,1,0,0,24,843107
366614,1,1,2,2,22,843108
131741,2,2,2,2,24,843109
460678,2,1,2,2,23,843110
16477,2,1,2,2,61,843111
158424,2,2,2,2,59,843112
72870,2,2,0,0,67,843113
72870,2,2,0,0,69,843114
162462,1,1,3,3,68,843115
30902,2,1,2,2,22,843116
142418,2,2,3,3,23,843117
329415,1,1,3,3,94,843118
154594,2,2,3,3,40,843119
236606,2,2,3,3,51,843120
110221,2,2,0,0,56,843121
205531,2,2,3,3,28,843122
123144,2,2,3,3,76,843123
219404,1,1,2,2,32,843124
80088,2,1,0,0,22,843125
383019,2,2,0,0,64,843126
261456,1,1,3,3,22,843127
300624,1,1,2,2,77,843128
93142,2,2,2,2,25,843129
211057,2,2,2,2,55,843130
58490,2,2,0,0,51,843131
153599,2,2,0,0,47,843132
238821,2,2,2,2,31,843133
118427,2,2,0,0,24,843134
351821,2,2,3,3,33,843135
345281,2,2,0,0,27,843136
9706,2,2,2,2,54,843137
120112,2,2,3,3,44,843138
88745,1,1,2,2,24,843139
245989,1,1,0,0,45,843140
122420,2,2,0,0,23,843141
110301,1,1,3,3,54,843142
134839,1,1,3,3,38,843143
329171,1,1,2,2,24,843144
168927,2,1,0,0,92,843145
22868,1,1,0,0,25,843146
40780,2,1,0,0,84,843147
25463,1,1,3,3,24,843148
48499,1,1,3,3,27,843149
256715,1,1,2,2,27,843150
29976,2,1,3,3,59,843151
134799,2,1,2,2,24,843152
75727,1,1,2,2,42,843153
230375,1,1,0,0,46,843154
109203,1,1,2,2,23,843155
109203,2,1,2,2,24,843156
303088,2,2,0,0,55,843157
226149,2,1,2,2,25,843158
245434,1,1,3,3,68,843159
189021,2,1,3,3,22,843160
307391,2,1,2,2,23,843161
386929,1,1,3,3,46,843162
39545,1,1,2,2,47,843163
230375,1,1,0,0,48,843164
38698,2,1,2,2,72,843165
286863,2,1,3,3,34,843166
38698,1,1,2,2,65,843167
16506,1,1,3,3,25,843168
402057,2,1,3,3,24,843169
58495,2,1,2,2,27,843170
81578,2,1,2,2,51,843171
386727,1,1,3,3,49,843172
353560,0,0,3,3,24,843173
138644,1,1,3,3,34,843174
238053,1,1,0,0,60,843175
138644,1,1,3,3,32,843176
242282,2,2,0,0,28,843177
196389,2,2,0,0,48,843178
188648,2,1,3,3,23,843179
71342,1,1,0,0,45,843180
32144,2,2,0,0,86,843181
353107,2,2,0,0,62,843182
305797,1,1,0,0,63,843183
115471,2,2,2,2,68,843184
238053,1,1,0,0,57,843185
416677,2,2,0,0,25,843186
326025,1,1,2,2,38,843187
432666,1,1,2,2,22,843188
354043,2,1,3,3,22,843189
75315,2,1,2,2,55,843190
115909,2,1,3,3,49,843191
143516,1,1,2,2,29,843192
34509,1,1,3,3,22,843193
75130,2,1,2,2,23,843194
11597,1,1,2,2,100,843195
225683,1,1,2,2,26,843196
348043,2,1,0,0,22,843197
329794,2,1,3,3,23,843198
323657,2,2,3,3,55,843199
243026,1,1,2,2,51,843200
243026,2,2,2,2,24,843201
249120,1,1,0,0,28,843202
52445,2,2,0,0,44,843203
218866,1,1,3,3,47,843204
196680,1,1,2,2,89,843205
169137,1,1,3,3,63,843206
129838,2,1,2,2,22,843207
139144,1,1,0,0,58,843208
139143,2,1,0,0,44,843209
27838,2,1,2,2,67,843210
59686,1,1,0,0,38,843211
71330,1,1,3,3,30,843212
164375,2,1,2,2,25,843213
196680,1,1,2,2,98,843214
381718,1,1,3,3,22,843215
250555,2,1,0,0,37,843216
18588,1,1,0,0,25,843217
349243,2,1,0,0,22,843218
70256,1,1,3,3,66,843219
356960,2,2,3,3,64,843220
136703,2,2,0,0,41,843221
290761,2,1,0,0,70,843222
384806,2,1,0,0,76,843223
162992,2,2,0,0,26,843224
274132,1,1,3,3,63,843225
110233,1,1,3,3,68,843226
214265,2,2,3,3,22,843227
203705,2,1,3,3,23,843228
349784,1,1,0,0,61,843229
349784,2,1,0,0,55,843230
264449,2,1,0,0,28,843231
242519,1,1,0,0,30,843232
50329,2,2,0,0,76,843233
45882,2,1,3,3,79,843234
50329,2,2,2,2,67,843235
73022,1,1,2,2,22,843236
436793,2,1,2,2,23,843237
403098,2,2,0,0,24,843238
16299,2,2,2,2,86,843239
436156,2,2,2,2,22,843240
45893,2,1,0,0,59,843241
381587,1,1,0,0,69,843242
349995,2,1,0,0,55,843243
436121,1,1,0,0,75,843244
399744,1,1,3,3,31,843245
188957,1,1,0,0,63,843246
203752,1,1,2,2,35,843247
245259,2,1,2,2,46,843248
91651,2,1,3,3,32,843249
354462,1,1,0,0,22,843250
54497,1,1,3,3,23,843251
104888,1,1,0,0,22,843252
354367,2,2,2,2,69,843253
237568,2,2,2,2,96,843254
237568,2,2,2,2,99,843255
72744,2,2,2,2,24,843256
346649,2,2,2,2,49,843257
29976,1,1,3,3,63,843258
236606,1,1,3,3,46,843259
312802,1,1,0,0,61,843260
222648,2,1,0,0,51,843261
38600,1,1,3,3,76,843262
203738,1,1,0,0,63,843263
29646,2,2,0,0,93,843264
174225,1,1,3,3,61,843265
81483,2,2,0,0,22,843266
438281,2,2,3,3,42,843267
251258,2,1,2,2,70,843268
27378,1,1,2,2,22,843269
218951,1,1,2,2,94,843270
122377,1,1,0,0,68,843271
152204,2,1,0,0,22,843272
222651,1,1,0,0,29,843273
113774,1,1,3,3,39,843274
134666,2,2,2,2,74,843275
312802,1,1,0,0,28,843276
159818,2,2,2,2,52,843277
408940,2,2,3,3,39,843278
58850,2,2,3,3,54,843279
144710,1,1,2,2,25,843280
76425,2,1,3,3,22,843281
250570,2,1,3,3,32,843282
351851,1,1,0,0,24,843283
35137,1,1,3,3,25,843284
40184,1,1,3,3,31,843285
408547,1,1,0,0,51,843286
16081,1,1,3,3,62,843287
278316,1,1,3,3,38,843288
409634,1,1,3,3,61,843289
349506,2,2,0,0,41,843290
34677,2,2,0,0,72,843291
300075,2,1,3,3,34,843292
115397,1,1,0,0,45,843293
61243,2,2,0,0,60,843294
41925,2,2,2,2,59,843295
432293,1,1,0,0,51,843296
246021,2,2,2,2,46,843297
398046,2,1,2,2,46,843298
62415,2,2,0,0,23,843299
300207,2,2,0,0,22,843300
257290,2,1,3,3,28,843301
414938,2,1,0,0,66,843302
42803,1,1,2,2,28,843303
107889,1,1,3,3,82,843304
16066,2,2,0,0,49,843305
434784,1,1,3,3,98,843306
239824,2,2,3,3,38,843307
153531,1,1,0,0,78,843308
252612,1,1,3,3,23,843309
188690,2,2,2,2,23,843310
246979,1,1,0,0,22,843311
29354,2,2,0,0,28,843312
456083,0,0,2,2,40,843313
168859,2,2,0,0,26,843314
197157,2,2,0,0,58,843315
238549,1,1,2,2,72,843316
151760,1,1,3,3,53,843317
81565,2,2,3,3,40,843318
268866,1,1,0,0,79,843319
81565,2,2,0,0,60,843320
81565,2,2,0,0,58,843321
226159,1,1,0,0,25,843322
196177,1,1,3,3,55,843323
161782,1,1,0,0,49,843324
62271,2,2,2,2,22,843325
139288,2,2,3,3,88,843326
439102,2,2,3,3,68,843327
229856,2,2,3,3,23,843328
153531,1,1,0,0,76,843329
15568,1,1,0,0,23,843330
162465,2,1,0,0,22,843331
39650,1,1,0,0,22,843332
50500,2,2,0,0,55,843333
458784,2,1,2,2,23,843334
168261,1,1,3,3,52,843335
58934,0,0,2,2,52,843336
408091,1,1,2,2,66,843337
57195,2,1,0,0,90,843338
197199,2,1,2,2,58,843339
268866,1,1,3,3,79,843340
56039,2,2,2,2,57,843341
264224,2,2,3,3,29,843342
97098,2,2,0,0,25,843343
412288,2,2,3,3,31,843344
48398,2,2,3,3,24,843345
20949,2,2,3,3,30,843346
177201,2,2,0,0,42,843347
278559,1,1,2,2,24,843348
147156,2,2,3,3,23,843349
179304,2,1,0,0,82,843350
246317,2,2,3,3,38,843351
18927,2,2,2,2,23,843352
153209,2,2,3,3,68,843353
45874,2,2,2,2,57,843354
193482,2,2,3,3,46,843355
239847,2,2,3,3,50,843356
388499,1,1,3,3,23,843357
226159,2,2,0,0,23,843358
246316,2,2,3,3,41,843359
261483,2,2,3,3,22,843360
402066,2,2,0,0,52,843361
52343,1,1,3,3,22,843362
172977,1,1,0,0,28,843363
285281,2,2,0,0,23,843364
184759,1,1,3,3,24,843365
112929,1,1,3,3,26,843366
430853,2,1,3,3,35,843367
271483,1,1,0,0,57,843368
113370,1,1,3,3,23,843369
352310,1,1,0,0,22,843370
105357,1,1,2,2,22,843371
154746,2,1,2,2,55,843372
35042,2,2,3,3,33,843373
79085,1,1,0,0,22,843374
305840,2,1,3,3,39,843375
241311,1,1,0,0,29,843376
95921,1,1,2,2,23,843377
16080,2,1,3,3,22,843378
352899,1,1,3,3,32,843379
238454,1,1,0,0,59,843380
197089,1,1,2,2,45,843381
301188,1,1,3,3,42,843382
446656,1,1,3,3,33,843383
83120,1,1,0,0,23,843384
452463,2,1,3,3,34,843385
28658,2,1,0,0,47,843386
282542,1,1,0,0,54,843387
211077,1,1,3,3,23,843388
261456,1,1,3,3,26,843389
104835,2,1,3,3,62,843390
131158,2,2,0,0,93,843391
39358,1,1,3,3,27,843392
288485,2,2,3,3,23,843393
32505,2,2,2,2,23,843394
62685,2,2,3,3,68,843395
382141,1,1,3,3,74,843396
104888,1,1,0,0,24,843397
64507,2,2,0,0,51,843398
133871,2,2,3,3,45,843399
86472,1,1,3,3,22,843400
34624,2,2,3,3,60,843401
366624,2,2,0,0,47,843402
143503,2,2,3,3,22,843403
305399,2,1,0,0,63,843404
239984,2,2,3,3,37,843405
115777,2,2,2,2,61,843406
13863,1,1,3,3,24,843407
432667,2,1,0,0,22,843408
456258,2,1,0,0,22,843409
442478,2,2,3,3,25,843410
18707,2,2,0,0,36,843411
24319,2,1,3,3,22,843412
305399,1,1,0,0,70,843413
454288,1,1,1,1,22,843414
156554,1,1,0,0,22,843415
398037,2,2,0,0,50,843416
88761,2,2,0,0,24,843417
55493,2,2,3,3,44,843418
92143,2,2,0,0,43,843419
15681,2,2,2,2,71,843420
167773,2,1,0,0,57,843421
269202,2,2,0,0,45,843422
18874,2,2,3,3,23,843423
95708,2,2,3,3,22,843424
296447,2,2,3,3,22,843425
237436,2,2,0,0,54,843426
173007,1,1,0,0,60,843427
409818,2,2,3,3,29,843428
173007,2,2,0,0,52,843429
12682,2,2,3,3,28,843430
115427,1,1,3,3,55,843431
232244,1,1,2,2,23,843432
344351,2,2,0,0,44,843433
197199,1,1,2,2,72,843434
133871,2,2,3,3,39,843435
442391,2,2,3,3,85,843436
442391,2,2,3,3,79,843437
297667,2,2,0,0,22,843438
59639,2,1,1,1,22,843439
75798,1,1,3,3,61,843440
408956,1,1,3,3,56,843441
18574,1,1,0,0,85,843442
180158,2,1,3,3,22,843443
353966,2,2,0,0,79,843444
352597,2,1,0,0,80,843445
128593,2,2,3,3,69,843446
219931,2,2,0,0,23,843447
23295,2,2,0,0,66,843448
24560,2,2,3,3,23,843449
63707,1,1,0,0,76,843450
151615,2,2,3,3,71,843451
233051,2,2,3,3,22,843452
424463,2,2,2,2,51,843453
29863,1,1,3,3,65,843454
86552,2,2,0,0,61,843455
326930,2,2,0,0,61,843456
29863,2,2,0,0,59,843457
168626,2,2,0,0,84,843458
422524,2,2,0,0,22,843459
27231,2,2,3,3,24,843460
22852,2,2,3,3,22,843461
418141,1,1,0,0,22,843462
445105,2,2,0,0,62,843463
7540,1,1,3,3,66,843464
12803,1,1,0,0,67,843465
332879,2,2,0,0,30,843466
270745,1,1,0,0,64,843467
155942,2,2,3,3,41,843468
383598,2,1,0,0,71,843469
270384,2,2,0,0,67,843470
300873,2,2,2,2,38,843471
82183,2,2,3,3,22,843472
66736,2,2,3,3,47,843473
62443,2,2,0,0,54,843474
451511,2,2,0,0,65,843475
7269,2,2,3,3,27,843476
364967,2,2,2,2,22,843477
32228,1,1,3,3,24,843478
32228,2,1,3,3,28,843479
154192,1,1,0,0,51,843480
24579,1,1,0,0,22,843481
329423,2,2,0,0,84,843482
246776,2,2,2,2,30,843483
61189,2,2,2,2,92,843484
414173,2,2,0,0,85,843485
178833,2,2,3,3,29,843486
250498,2,2,0,0,23,843487
279387,1,1,2,2,59,843488
189428,2,2,3,3,33,843489
85431,2,2,0,0,61,843490
59313,2,2,0,0,65,843491
273830,1,1,3,3,31,843492
219481,1,1,0,0,57,843493
25952,1,1,3,3,23,843494
454941,0,0,2,2,41,843495
170871,1,1,0,0,41,843496
435534,1,1,0,0,87,843497
139306,2,1,0,0,22,843498
250064,2,1,0,0,42,843499
110301,1,1,3,3,24,843500
110301,2,1,3,3,44,843501
170871,2,1,3,3,22,843502
135211,1,1,3,3,28,843503
21635,1,1,2,2,30,843504
196491,1,1,2,2,43,843505
64845,2,2,3,3,38,843506
50640,2,2,2,2,47,843507
404338,2,1,2,2,52,843508
365432,2,2,2,2,55,843509
116701,2,2,0,0,60,843510
23024,2,2,3,3,38,843511
299036,2,2,0,0,22,843512
299051,2,2,0,0,54,843513
352544,1,1,0,0,22,843514
83679,2,2,0,0,43,843515
144981,2,2,3,3,24,843516
108478,2,2,0,0,59,843517
13257,2,2,0,0,38,843518
452174,1,1,0,0,86,843519
168830,2,2,0,0,22,843520
40585,2,2,2,2,50,843521
54199,2,2,2,2,22,843522
45532,2,2,2,2,22,843523
302912,1,1,3,3,54,843524
195957,2,2,0,0,63,843525
129206,2,2,0,0,40,843526
201609,2,2,3,3,65,843527
139151,1,1,3,3,22,843528
313266,2,2,0,0,41,843529
17494,2,2,3,3,36,843530
76092,2,2,0,0,35,843531
19631,2,2,0,0,88,843532
442295,2,2,0,0,53,843533
61679,1,1,2,2,24,843534
350169,2,2,0,0,67,843535
296621,2,2,0,0,60,843536
81546,2,2,2,2,36,843537
452386,1,1,0,0,74,843538
12234,2,1,3,3,25,843539
119237,1,1,2,2,52,843540
381082,1,1,0,0,23,843541
33035,1,1,3,3,22,843542
226140,2,2,0,0,27,843543
24393,2,2,0,0,29,843544
30406,2,1,2,2,66,843545
66732,1,1,0,0,57,843546
63707,2,1,0,0,50,843547
154118,2,1,0,0,35,843548
116191,1,1,0,0,30,843549
20914,1,1,0,0,40,843550
42060,2,2,0,0,23,843551
16316,1,1,0,0,35,843552
409244,1,1,0,0,22,843553
294487,1,1,3,3,78,843554
179241,2,2,3,3,60,843555
303632,2,2,3,3,23,843556
82957,2,2,0,0,64,843557
279387,2,1,2,2,61,843558
320255,2,2,0,0,64,843559
397728,2,1,0,0,63,843560
82957,2,2,0,0,68,843561
32528,2,2,2,2,25,843562
54329,2,2,0,0,59,843563
120105,2,2,3,3,22,843564
349243,1,1,0,0,26,843565
420786,2,2,0,0,54,843566
345289,2,2,0,0,59,843567
450845,2,2,0,0,33,843568
32249,2,2,3,3,24,843569
251220,1,1,2,2,26,843570
146754,1,1,2,2,59,843571
181255,1,1,0,0,48,843572
128396,2,2,2,2,56,843573
253539,2,1,3,3,34,843574
155889,2,2,3,3,29,843575
240195,1,1,3,3,24,843576
93444,1,1,3,3,33,843577
161641,1,1,0,0,27,843578
238945,1,1,2,2,44,843579
142245,1,1,2,2,24,843580
253046,1,1,3,3,54,843581
62520,1,1,0,0,64,843582
83222,2,1,0,0,54,843583
171641,1,1,0,0,82,843584
348612,1,1,3,3,68,843585
45549,1,1,0,0,24,843586
28653,1,1,3,3,22,843587
47943,1,1,2,2,44,843588
22907,2,1,3,3,26,843589
21993,2,1,0,0,31,843590
450932,1,1,0,0,22,843591
347018,1,1,0,0,40,843592
134226,1,1,3,3,28,843593
162685,1,1,0,0,30,843594
162685,1,1,3,3,29,843595
462690,1,1,2,2,25,843596
16583,1,1,2,2,57,843597
154576,2,1,3,3,64,843598
178911,1,1,0,0,22,843599
93323,2,1,3,3,48,843600
92910,1,1,0,0,54,843601
242521,2,1,3,3,56,843602
353846,1,1,3,3,48,843603
43213,1,1,2,2,22,843604
89325,1,1,2,2,22,843605
176384,1,1,3,3,39,843606
349525,1,1,3,3,77,843607
345023,2,1,0,0,24,843608
195762,2,1,2,2,24,843609
42515,1,1,2,2,22,843610
245434,1,1,2,2,67,843611
50229,2,1,3,3,39,843612
223886,1,1,2,2,22,843613
438152,1,1,3,3,34,843614
30045,2,1,2,2,58,843615
55860,1,1,0,0,58,843616
125490,1,1,2,2,27,843617
421112,2,1,0,0,34,843618
188813,1,1,2,2,22,843619
25272,1,1,2,2,61,843620
31973,1,1,2,2,22,843621
170693,1,1,3,3,44,843622
413844,1,1,0,0,45,843623
275692,1,1,3,3,23,843624
91713,1,1,2,2,34,843625
192795,1,1,2,2,24,843626
71429,2,1,3,3,32,843627
284261,1,1,3,3,23,843628
32725,1,1,3,3,24,843629
436082,1,1,0,0,82,843630
282506,1,1,3,3,34,843631
142638,1,1,2,2,58,843632
160404,1,1,2,2,22,843633
209549,1,1,0,0,22,843634
418202,1,1,3,3,22,843635
81578,2,1,2,2,50,843636
376625,2,1,3,3,22,843637
46344,1,1,2,2,73,843638
382598,1,1,3,3,32,843639
107996,1,1,3,3,33,843640
25065,0,0,3,3,43,843641
430994,1,1,2,2,34,843642
