E,F,G,H,I,J,K
26480,1,1,0,0,79,1
26480,1,1,0,0,82,1
453430,1,1,2,2,58,1
81033,1,1,0,0,93,1
75946,2,1,0,0,59,2
75946,1,1,3,3,58,1
432543,1,1,0,0,58,1
357237,1,1,3,3,60,1
357237,2,1,2,3,72,2
275244,1,1,3,3,51,1
340041,1,1,0,0,79,1
110613,1,1,0,0,50,1
416226,1,1,0,0,65,1
203494,1,1,0,0,72,1
174071,1,1,2,3,56,1
428366,1,1,0,0,72,1
1436,1,1,0,0,60,1
334501,1,1,2,3,57,1
422584,2,1,0,0,59,2
424413,2,1,0,0,67,2
334501,2,1,2,3,58,2
458612,1,1,0,0,97,1
443771,2,1,2,3,63,2
428006,1,1,2,3,48,1
174071,1,1,3,3,61,1
384433,1,1,2,2,57,1
424038,1,1,0,0,52,1
460155,1,1,0,0,46,1
123351,1,1,0,0,49,1
428366,1,1,0,0,67,1
257335,2,1,2,3,62,2
232224,1,1,0,0,46,1
399852,2,1,0,0,86,2
89038,1,1,0,0,55,1
459649,1,1,0,0,77,1
111569,1,1,0,0,50,1
99111,1,1,0,0,86,1
99140,2,1,0,0,58,2
427240,1,1,0,0,62,1
427240,1,1,0,0,60,1
33411,2,1,0,0,60,2
402526,1,1,0,0,56,1
199164,1,1,3,3,65,1
199164,1,1,3,3,68,1
360373,1,1,0,0,78,1
171138,1,1,0,0,68,1
171138,1,1,0,0,65,1
181658,2,1,0,0,61,2
181658,1,1,0,0,62,1
57870,1,1,0,0,68,1
301,1,1,0,0,56,1
402610,1,1,0,0,54,1
402526,2,1,0,0,60,2
402526,1,1,0,0,95,1
401767,2,1,0,0,72,2
403512,1,1,0,0,65,1
403512,2,1,0,0,71,2
401767,1,1,0,0,92,1
334270,1,1,3,3,50,1
226028,2,1,0,0,48,2
350686,2,1,0,0,68,2
350686,1,1,0,0,70,1
301259,1,1,0,0,91,1
210880,1,1,0,0,49,1
396300,2,1,0,0,73,2
396300,1,1,0,0,75,1
47529,1,1,0,0,95,1
454331,1,1,3,3,48,1
29055,2,1,0,0,81,2
431667,1,1,0,0,90,1
431667,2,1,0,0,85,2
132490,1,1,0,0,79,1
144701,2,1,0,0,89,2
132490,1,1,0,0,66,1
301,1,1,0,0,52,1
273931,2,1,0,0,73,2
273931,1,1,0,0,73,1
140535,1,1,2,3,50,1
336631,1,1,0,0,86,1
433627,1,1,0,0,68,1
433627,1,1,0,0,67,1
288292,1,1,0,0,87,1
288292,1,1,0,0,82,1
414334,1,1,0,0,74,1
422126,1,1,0,0,52,1
305773,1,1,0,0,55,1
422126,2,1,0,0,57,2
248967,1,1,0,0,54,1
194164,1,1,0,0,75,1
266550,1,1,0,0,56,1
263206,1,1,0,0,86,1
324012,2,1,0,0,78,2
387559,2,2,0,0,53,2
255052,2,1,0,0,51,2
257313,1,1,0,0,58,1
248967,1,1,0,0,52,1
263206,1,1,0,0,49,1
257313,1,1,0,0,58,1
422126,1,1,0,0,92,1
413181,1,1,0,0,60,1
388669,1,1,0,0,88,1
418919,1,1,0,0,62,1
372330,2,1,0,0,71,2
396694,1,1,0,0,57,1
400357,1,1,0,0,83,1
404440,1,1,0,0,61,1
29055,1,1,0,0,46,1
464781,1,1,0,0,101,1
464765,2,1,0,0,80,2
311175,1,1,0,0,46,1
318340,1,1,2,2,76,1
318340,2,1,2,2,75,2
71213,1,1,0,0,102,1
425253,1,1,0,0,62,1
425253,1,1,0,0,65,1
281680,2,1,2,2,50,2
403993,1,1,0,0,78,1
340543,1,1,0,0,76,1
280838,2,1,0,0,61,2
280106,2,1,2,2,64,2
243872,1,1,0,0,60,1
243872,1,1,0,0,57,1
375488,1,1,0,0,50,1
95901,2,1,2,3,79,2
299870,1,1,0,0,54,1
460877,1,1,0,0,72,1
375488,1,1,0,0,50,1
460877,1,1,0,0,74,1
383827,1,1,0,0,80,1
95901,1,1,3,3,74,1
377706,2,2,3,3,57,2
377706,2,2,3,3,56,2
305542,1,1,0,0,88,1
401463,1,1,0,0,93,1
414460,2,1,0,0,75,2
414460,1,1,0,0,46,1
414460,1,1,0,0,77,1
52148,2,1,0,0,51,2
75486,1,1,0,0,49,1
306878,1,1,3,3,67,1
355319,1,1,0,0,54,1
393682,1,1,0,0,82,1
334270,1,1,0,0,52,1
138688,1,1,0,0,82,1
355319,1,1,0,0,54,1
138688,2,1,0,0,77,2
94006,1,1,0,0,96,1
426780,2,1,0,0,55,2
99966,1,1,0,0,54,1
269126,2,1,0,0,86,2
269126,2,1,0,0,58,2
269126,2,1,0,0,60,2
99966,1,1,0,0,52,1
318116,1,1,0,0,91,1
441131,1,1,0,0,65,1
441131,1,1,0,0,66,1
266756,1,1,0,0,88,1
426453,1,1,0,0,69,1
426453,1,1,0,0,70,1
140202,1,1,3,3,70,1
140202,2,1,3,3,70,2
310670,2,1,0,0,67,2
281000,1,1,0,0,65,1
310670,2,1,0,0,69,2
281000,1,1,0,0,64,1
288205,2,1,0,0,62,2
365166,1,1,0,0,65,1
424234,2,1,0,0,97,2
417633,2,1,2,2,52,2
275244,1,1,0,0,78,1
275244,2,1,0,0,77,2
361386,1,1,0,0,74,1
361386,1,1,0,0,78,1
329533,1,1,0,0,46,1
360996,1,1,0,0,82,1
368491,1,1,0,0,91,1
214239,1,1,0,0,95,1
214239,1,1,3,3,61,1
245730,1,1,3,3,70,1
255595,1,1,0,0,88,1
269832,1,1,0,0,63,1
245730,2,2,3,3,73,2
255595,2,1,0,0,87,2
269832,1,1,0,0,63,1
421171,1,1,0,0,60,1
444458,2,1,0,0,63,2
362532,2,1,0,0,54,2
16327,2,2,0,0,53,2
365650,2,1,0,0,75,2
360170,1,1,0,0,53,1
357349,1,1,0,0,50,1
365650,1,1,2,2,80,1
360170,1,1,2,3,56,1
402533,1,1,0,0,95,1
133867,1,1,0,0,60,1
147598,1,1,0,0,75,1
106226,1,1,0,0,67,1
187949,1,1,0,0,76,1
106226,1,1,0,0,67,1
465345,1,1,0,0,65,1
325745,1,1,0,0,84,1
187949,2,1,0,0,76,2
147598,2,1,0,0,72,2
465345,1,1,0,0,65,1
133867,2,1,0,0,64,2
325745,2,1,0,0,82,2
191348,1,1,0,0,91,1
191348,1,1,0,0,99,1
208283,1,1,0,0,68,1
208283,2,1,0,0,73,2
404272,1,1,1,2,61,1
404272,1,1,2,2,59,1
31408,1,1,0,0,57,1
401987,1,1,0,0,69,1
79417,1,1,0,0,91,1
44103,1,1,0,0,73,1
428108,1,1,0,0,67,1
428108,1,1,0,0,69,1
460155,2,1,0,0,47,2
397770,1,1,0,0,72,1
193587,2,1,0,0,52,2
1280,1,1,0,0,68,1
397770,1,1,0,0,68,1
414106,1,1,0,0,66,1
259052,1,1,0,0,75,1
392352,2,1,0,0,60,2
398592,1,1,0,0,66,1
80630,1,1,0,0,100,1
414106,2,1,0,0,68,2
398592,1,1,0,0,69,1
84302,1,1,0,0,65,1
392352,2,1,0,0,55,2
84302,1,1,0,0,62,1
394522,1,1,0,0,63,1
259052,1,1,0,0,77,1
163530,2,1,0,0,69,2
163530,1,1,0,0,46,1
399131,1,1,0,0,64,1
193161,2,1,0,0,66,2
399131,1,1,0,0,70,1
193161,1,1,0,0,63,1
371868,2,1,0,0,84,2
371868,1,1,0,0,84,1
428572,2,1,0,0,96,2
396476,1,1,0,0,91,1
389181,1,1,0,0,67,1
389181,1,1,0,0,65,1
425339,1,1,0,0,91,1
222275,1,1,0,0,84,1
215495,1,1,0,0,52,1
222275,1,1,0,0,59,1
395868,1,1,1,2,78,1
399804,1,1,0,0,71,1
82638,1,1,0,0,96,1
192123,2,1,0,0,63,2
298979,2,1,0,0,64,2
298979,1,1,0,0,71,1
302753,1,1,0,0,82,1
259835,1,1,0,0,98,1
1280,1,1,0,0,94,1
445338,1,1,0,0,49,1
159571,1,1,0,0,68,1
403747,2,1,0,0,83,2
422999,1,1,0,0,79,1
422999,2,1,0,0,81,2
207360,1,1,0,0,77,1
405181,1,1,2,2,75,1
399852,2,1,0,0,48,2
400150,1,1,0,0,46,1
222379,1,1,0,0,63,1
211355,2,1,0,0,69,2
222354,1,1,0,0,68,1
398358,1,1,0,0,66,1
211355,2,1,0,0,74,2
211355,1,1,0,0,49,1
222379,2,1,0,0,63,2
313537,1,1,0,0,69,1
224492,1,1,0,0,64,1
96696,2,1,0,0,68,2
120760,2,1,0,0,69,2
112527,1,1,0,0,66,1
455400,1,1,0,0,77,1
430613,1,1,3,3,57,1
217993,1,1,0,0,63,1
217993,2,1,0,0,68,2
196278,1,1,0,0,91,1
396189,1,1,0,0,59,1
402626,2,1,0,0,97,2
420714,1,1,0,0,56,1
420714,1,1,0,0,52,1
364688,1,1,2,3,81,1
402626,2,1,0,0,91,2
364688,1,1,2,3,82,1
396229,2,1,3,3,47,2
191679,2,1,0,0,65,2
121668,1,1,0,0,81,1
85139,2,1,0,0,46,2
168219,2,1,3,3,63,2
26283,2,1,0,0,65,2
370705,1,1,0,0,60,1
268835,1,1,0,0,68,1
462467,1,1,0,0,69,1
288302,2,1,0,0,49,2
261246,1,1,0,0,76,1
75750,1,1,0,0,62,1
148258,1,1,0,0,54,1
442513,2,1,0,0,54,2
444405,1,1,0,0,81,1
393809,1,1,0,0,69,1
378313,1,1,0,0,72,1
378313,1,1,0,0,69,1
270953,2,1,0,0,55,2
209281,1,1,0,0,55,1
394053,1,1,0,0,64,1
41945,1,1,0,0,74,1
422191,2,1,0,0,70,2
422191,1,1,0,0,75,1
422191,1,1,0,0,47,1
442513,2,1,0,0,59,2
446901,1,1,0,0,73,1
446901,1,1,0,0,73,1
53526,1,1,0,0,62,1
664,1,1,0,0,46,1
245981,1,1,0,0,84,1
333196,1,1,0,0,62,1
53526,1,1,0,0,66,1
128801,1,1,0,0,59,1
57114,1,1,0,0,59,1
395868,1,1,0,0,69,1
270953,1,1,0,0,80,1
300349,1,1,0,0,84,1
444458,2,1,0,0,66,2
106252,1,1,0,0,58,1
221239,1,1,0,0,72,1
140589,1,1,0,0,67,1
144642,2,1,0,0,65,2
140589,2,1,0,0,63,2
144642,1,1,0,0,65,1
393833,1,1,2,2,86,1
392161,1,1,0,0,90,1
318836,1,1,0,0,67,1
318836,1,1,0,0,69,1
204514,1,1,0,0,72,1
192063,2,1,0,0,98,2
399597,1,1,0,0,82,1
249610,2,1,0,0,46,2
143897,1,1,0,0,48,1
207908,1,1,0,0,53,1
177506,1,1,0,0,88,1
146892,2,1,0,0,66,2
59638,1,1,0,0,93,1
59638,1,1,0,0,98,1
159693,1,1,0,0,71,1
416799,1,1,2,2,69,1
370705,1,1,0,0,60,1
121406,1,1,0,0,87,1
83473,2,1,0,0,74,2
159068,1,1,2,2,56,1
410771,1,1,0,0,84,1
196949,1,1,0,0,82,1
174547,2,1,0,0,78,2
174547,2,1,0,0,77,2
226060,2,1,0,0,48,2
73707,1,1,0,0,46,1
145851,1,1,0,0,48,1
182187,1,1,0,0,59,1
179952,2,1,0,0,58,2
197214,1,1,0,0,77,1
182187,1,1,0,0,82,1
76859,1,1,0,0,63,1
76859,1,1,0,0,68,1
41822,2,1,0,0,69,2
106252,1,1,0,0,59,1
456863,1,1,0,0,71,1
400772,1,1,0,0,56,1
288205,1,1,0,0,71,1
345072,2,1,0,0,73,2
345072,1,1,0,0,85,1
148190,1,1,0,0,60,1
176563,1,1,0,0,57,1
425943,1,1,0,0,49,1
271356,2,1,0,0,77,2
113017,1,1,0,0,60,1
289257,1,1,0,0,74,1
438424,1,1,0,0,88,1
456744,2,1,0,0,57,2
289257,2,1,3,3,72,2
326951,2,1,0,0,64,2
323496,1,1,0,0,101,1
132643,1,1,0,0,53,1
153141,1,1,0,0,77,1
147379,2,1,0,0,51,2
292950,1,1,0,0,62,1
292950,1,1,0,0,63,1
119485,1,1,0,0,56,1
403362,1,1,2,2,77,1
49933,1,1,0,0,53,1
273785,1,1,0,0,74,1
77978,1,1,0,0,59,1
277393,2,1,0,0,54,2
355998,1,1,0,0,67,1
393115,1,1,0,0,63,1
355998,1,1,0,0,71,1
416392,1,1,0,0,78,1
460946,2,1,0,0,54,2
226887,1,1,0,0,61,1
460946,1,1,0,0,88,1
460946,2,1,0,0,89,2
226887,2,1,0,0,62,2
395015,1,1,0,0,82,1
280176,1,1,0,0,61,1
137056,2,1,0,0,72,2
445338,1,1,0,0,55,1
137056,2,1,0,0,73,2
131387,1,1,0,0,48,1
397985,2,1,0,0,86,2
26940,2,1,0,0,91,2
397985,1,1,0,0,79,1
23881,2,1,2,3,49,2
363921,2,1,0,0,90,2
8669,2,1,0,0,75,2
363921,1,1,0,0,87,1
8669,1,1,0,0,73,1
273675,2,1,0,0,59,2
390827,1,1,0,0,67,1
390827,1,1,0,0,66,1
170281,2,1,0,0,91,2
170281,2,1,0,0,53,2
139087,2,1,0,0,73,2
110583,1,1,0,0,57,1
139087,2,1,0,0,67,2
397999,1,1,0,0,73,1
397999,2,1,0,0,77,2
403333,1,1,0,0,63,1
103678,2,1,0,0,64,2
388332,2,1,0,0,91,2
405817,2,1,0,0,60,2
396049,1,1,0,0,69,1
128154,1,1,0,0,87,1
1001,1,1,0,0,57,1
27937,1,1,0,0,89,1
129486,1,1,0,0,86,1
46048,2,1,0,0,77,2
46048,1,1,0,0,75,1
46048,1,1,0,0,85,1
330294,1,1,0,0,56,1
20850,1,1,0,0,91,1
26283,2,1,0,0,68,2
26283,1,1,0,0,48,1
378139,1,1,0,0,65,1
403919,1,1,1,2,96,1
191800,1,1,0,0,87,1
420419,2,1,0,0,82,2
428580,1,1,0,0,53,1
457814,1,1,0,0,84,1
457814,1,1,0,0,87,1
337507,1,1,2,3,64,1
337507,1,1,3,3,60,1
191732,1,1,0,0,58,1
462684,2,1,0,0,59,2
171133,1,1,0,0,67,1
292375,1,1,0,0,79,1
327073,1,1,0,0,48,1
171133,1,1,0,0,66,1
452836,1,1,0,0,69,1
206022,1,1,0,0,48,1
266461,2,1,0,0,78,2
330093,2,1,0,0,54,2
203862,1,1,0,0,61,1
168219,1,1,0,0,91,1
251891,1,1,0,0,64,1
203862,1,1,0,0,64,1
317242,1,1,0,0,92,1
334822,1,1,3,3,91,1
323496,1,1,0,0,95,1
411485,1,1,3,3,61,1
334822,1,1,2,3,86,1
333660,2,1,3,3,63,2
159068,2,1,2,2,57,2
372656,1,1,2,3,89,1
372656,1,1,3,3,66,1
372656,2,1,2,3,65,2
408471,1,1,0,0,65,1
408471,1,1,0,0,60,1
325435,1,1,0,0,86,1
446562,2,1,0,0,58,2
446562,1,1,0,0,58,1
447183,2,1,0,0,90,2
445498,2,1,0,0,87,2
445498,2,1,0,0,82,2
459737,1,1,0,0,78,1
31443,2,1,0,0,48,2
459737,2,1,0,0,81,2
104878,1,1,0,0,59,1
432811,1,1,0,0,66,1
462562,2,1,2,3,71,2
462562,1,1,3,3,73,1
462562,2,1,3,3,48,2
36204,1,1,0,0,51,1
36204,1,1,0,0,80,1
427990,1,1,0,0,72,1
427990,1,1,0,0,70,1
444404,2,1,0,0,77,2
44313,1,1,0,0,79,1
23054,2,1,0,0,61,2
288617,1,1,0,0,60,1
411401,2,1,0,0,48,2
420094,2,1,0,0,84,2
215678,1,1,0,0,54,1
420094,1,1,0,0,78,1
106560,1,1,0,0,88,1
288617,1,1,0,0,60,1
131110,1,1,0,0,63,1
46871,1,1,0,0,60,1
334226,1,1,2,2,58,1
334226,1,1,3,3,61,1
451460,1,1,0,0,97,1
249076,2,1,0,0,85,2
437336,1,1,1,2,62,1
289403,1,1,0,0,58,1
437336,1,1,1,2,63,1
88276,1,1,0,0,69,1
206849,1,1,0,0,59,1
1335,2,1,0,0,81,2
326068,1,1,0,0,84,1
206849,2,1,0,0,55,2
249076,2,1,0,0,46,2
339469,1,1,0,0,84,1
327142,1,1,0,0,55,1
327142,1,1,0,0,56,1
289403,1,1,0,0,62,1
432212,1,1,0,0,65,1
432212,1,1,2,3,64,1
215678,1,1,0,0,79,1
15078,2,1,0,0,64,2
466185,1,1,0,0,52,1
107825,1,1,0,0,89,1
9260,2,1,0,0,81,2
143745,1,1,0,0,84,1
290827,1,1,0,0,94,1
287355,2,1,0,0,64,2
287355,1,1,0,0,66,1
111965,1,1,0,0,62,1
290827,1,1,0,0,93,1
111965,2,1,0,0,69,2
371877,2,1,0,0,59,2
231147,1,1,0,0,65,1
319036,2,1,0,0,63,2
200572,2,1,1,2,86,2
45098,1,1,0,0,94,1
438180,1,1,2,2,78,1
438180,2,1,2,2,79,2
136055,2,1,0,0,59,2
244832,1,1,0,0,63,1
287430,1,1,0,0,57,1
29381,1,1,0,0,60,1
47390,2,1,0,0,89,2
33627,1,1,0,0,66,1
405747,2,1,0,0,63,2
26826,1,1,0,0,62,1
288075,1,1,0,0,55,1
130408,2,1,0,0,73,2
302018,1,1,0,0,89,1
327641,1,1,0,0,58,1
464325,1,1,0,0,58,1
130408,2,1,0,0,78,2
217815,1,1,0,0,52,1
58222,2,1,0,0,91,2
441552,1,1,0,0,68,1
441552,1,1,0,0,70,1
222763,1,1,0,0,75,1
441258,2,1,0,0,91,2
441258,1,1,0,0,91,1
45098,1,1,0,0,92,1
435318,1,1,0,0,60,1
427113,1,1,0,0,69,1
439695,1,1,2,2,50,1
427113,1,1,0,0,71,1
242879,1,1,0,0,74,1
457719,1,1,0,0,88,1
422915,1,1,0,0,90,1
136749,1,1,0,0,67,1
322164,1,1,0,0,58,1
89000,1,1,0,0,57,1
23885,1,1,0,0,50,1
124060,1,1,0,0,58,1
439716,1,1,0,0,53,1
439558,1,1,0,0,74,1
361655,2,1,0,0,64,2
18421,1,1,0,0,58,1
361655,1,1,0,0,60,1
59319,1,1,1,2,68,1
118142,1,1,2,2,81,1
118142,1,1,2,2,80,1
439558,1,1,0,0,68,1
137567,2,1,3,3,53,2
439716,1,1,0,0,91,1
124060,1,1,0,0,67,1
390753,2,1,0,0,90,2
390753,2,1,0,0,93,2
372705,1,1,0,0,73,1
372705,1,1,0,0,55,1
93443,2,1,0,0,50,2
112129,1,1,0,0,73,1
432811,1,1,0,0,90,1
108964,2,1,0,0,68,2
119844,1,1,0,0,71,1
119844,1,1,0,0,73,1
368301,2,1,2,2,88,2
108964,2,1,0,0,69,2
210700,1,1,0,0,62,1
210700,1,1,0,0,65,1
405695,1,1,0,0,105,1
422068,1,1,1,2,62,1
409969,1,1,0,0,79,1
41027,1,1,0,0,61,1
214599,1,1,1,2,65,1
214599,1,1,2,2,64,1
361434,1,1,0,0,85,1
365264,1,1,0,0,56,1
69841,1,1,0,0,67,1
319523,1,1,0,0,90,1
303942,2,1,0,0,97,2
356503,1,1,0,0,71,1
350424,1,1,0,0,67,1
179489,1,1,0,0,66,1
356503,1,1,0,0,54,1
179489,1,1,0,0,69,1
387707,2,1,0,0,52,2
338459,2,1,0,0,76,2
145433,2,1,0,0,79,2
107832,1,1,0,0,83,1
427572,2,1,0,0,58,2
361434,1,1,0,0,85,1
438475,1,1,0,0,61,1
336656,2,1,0,0,94,2
324582,1,1,0,0,54,1
438475,2,1,0,0,62,2
350424,1,1,0,0,69,1
140704,1,1,0,0,90,1
303942,1,1,0,0,93,1
338459,1,1,0,0,47,1
338459,1,1,0,0,48,1
356503,1,1,0,0,75,1
285678,1,1,0,0,50,1
5277,1,1,0,0,84,1
427572,1,1,0,0,60,1
108204,1,1,0,0,58,1
28864,1,1,0,0,55,1
283145,1,1,0,0,62,1
421171,2,1,0,0,76,2
324051,2,1,0,0,56,2
438182,2,1,0,0,71,2
276549,1,1,1,2,50,1
21297,1,1,0,0,73,1
260767,1,1,0,0,91,1
321313,1,1,0,0,76,1
75933,2,1,0,0,76,2
425893,1,1,0,0,74,1
101542,1,1,0,0,82,1
340169,2,1,0,0,92,2
425893,1,1,3,3,69,1
280445,2,1,0,0,50,2
321313,1,1,0,0,49,1
458817,1,1,0,0,48,1
460805,1,1,0,0,58,1
460805,1,1,0,0,57,1
193630,2,1,0,0,97,2
207105,2,1,1,2,61,2
458817,1,1,0,0,83,1
75933,2,1,0,0,78,2
193630,2,1,0,0,67,2
207105,2,1,0,0,68,2
403070,1,1,0,0,48,1
301362,1,1,0,0,69,1
301362,1,1,0,0,47,1
301362,1,1,0,0,67,1
220833,1,1,0,0,52,1
241674,1,1,0,0,85,1
241674,1,1,0,0,86,1
112129,1,1,0,0,96,1
421731,1,1,2,2,50,1
414927,1,1,0,0,61,1
280590,1,1,0,0,86,1
47665,1,1,0,0,65,1
21348,1,1,0,0,56,1
29210,1,1,0,0,62,1
392392,2,1,0,0,62,2
446073,1,1,0,0,59,1
414927,1,1,0,0,59,1
418067,1,1,0,0,63,1
418067,1,1,0,0,64,1
226652,1,1,0,0,66,1
367097,1,1,0,0,86,1
365157,1,1,0,0,80,1
365157,2,1,1,2,81,2
83844,2,1,0,0,64,2
49224,2,1,2,3,70,2
26526,2,1,0,0,61,2
118321,2,1,0,0,72,2
83844,1,1,0,0,61,1
425776,2,1,3,3,60,2
118321,1,1,0,0,73,1
26526,2,1,0,0,61,2
436245,2,1,0,0,76,2
182040,2,1,0,0,58,2
49224,2,2,3,3,77,2
31725,2,1,2,2,50,2
436245,2,1,0,0,76,2
355650,1,1,0,0,99,1
425776,1,1,2,3,64,1
268896,1,1,0,0,51,1
287430,1,1,0,0,67,1
405695,1,1,0,0,70,1
319725,1,1,0,0,50,1
236948,2,1,0,0,50,2
264312,1,1,0,0,74,1
31355,1,1,0,0,78,1
31355,1,1,0,0,77,1
76916,1,1,0,0,65,1
1039,1,1,0,0,59,1
76916,1,1,0,0,62,1
326634,1,1,0,0,68,1
136749,2,1,0,0,46,2
136749,1,1,0,0,49,1
408891,1,1,0,0,85,1
408891,1,1,0,0,90,1
326575,2,1,0,0,58,2
441679,2,1,3,3,66,2
259118,2,1,0,0,53,2
441680,1,1,0,0,66,1
355020,1,1,0,0,72,1
9121,1,1,1,2,90,1
355020,2,1,0,0,65,2
464685,2,1,0,0,53,2
464948,1,1,0,0,89,1
291293,2,1,0,0,61,2
464948,1,1,0,0,95,1
357789,2,1,0,0,57,2
418067,1,1,0,0,88,1
24136,1,1,0,0,96,1
148218,1,1,0,0,91,1
357045,2,1,0,0,71,2
241865,1,1,3,3,90,1
461847,1,1,0,0,57,1
430397,2,1,0,0,64,2
303354,1,1,0,0,63,1
404299,1,1,2,2,63,1
309491,2,1,0,0,50,2
88276,1,1,0,0,85,1
53458,1,1,0,0,63,1
120839,1,1,0,0,71,1
120839,2,1,0,0,52,2
118983,1,1,0,0,53,1
309491,2,1,0,0,48,2
53458,1,1,0,0,64,1
147370,1,1,0,0,61,1
288057,1,1,0,0,91,1
355588,1,1,2,2,71,1
355588,2,1,2,2,76,2
29312,2,1,2,2,50,2
29312,1,1,2,2,54,1
18161,2,1,2,2,76,2
320388,2,1,0,0,82,2
49188,2,1,0,0,56,2
18128,2,1,0,0,59,2
18128,1,1,0,0,85,1
372652,1,1,0,0,46,1
15176,2,1,0,0,61,2
263148,2,2,0,0,60,2
263148,2,1,0,0,61,2
145454,2,1,0,0,71,2
326634,2,1,0,0,51,2
31292,1,1,0,0,78,1
197772,1,1,0,0,73,1
442827,1,1,0,0,73,1
147515,1,1,0,0,74,1
456222,2,1,1,2,53,2
442414,1,1,2,2,75,1
442414,1,1,1,2,78,1
181043,2,1,1,2,84,2
444143,1,1,2,2,101,1
388479,1,1,0,0,70,1
136579,2,1,0,0,88,2
147515,1,1,0,0,73,1
456222,2,1,1,2,61,2
363388,1,1,0,0,78,1
363388,1,1,0,0,82,1
207366,2,1,0,0,74,2
207366,1,1,0,0,72,1
23387,1,1,0,0,86,1
260084,1,1,0,0,100,1
374569,1,1,0,0,69,1
284445,2,1,0,0,69,2
284445,2,1,0,0,66,2
36204,1,1,2,2,53,1
459645,2,1,3,3,58,2
396241,2,1,0,0,80,2
396241,1,1,0,0,75,1
319741,1,1,0,0,76,1
319741,1,1,0,0,75,1
336781,1,1,0,0,78,1
110725,2,1,0,0,77,2
358721,1,1,0,0,62,1
358721,2,1,0,0,64,2
181182,2,1,0,0,74,2
36061,1,1,0,0,89,1
31588,1,1,0,0,86,1
31660,1,1,2,3,65,1
31660,1,1,2,2,59,1
220833,2,1,0,0,62,2
389851,1,1,0,0,62,1
389851,1,1,0,0,62,1
315730,2,1,0,0,85,2
465591,1,1,0,0,55,1
337248,1,1,0,0,86,1
297988,2,1,0,0,67,2
298937,2,1,0,0,63,2
293313,1,1,0,0,58,1
292725,1,1,0,0,62,1
292725,1,1,0,0,62,1
457280,1,1,0,0,66,1
399820,1,1,0,0,58,1
399820,1,1,3,3,61,1
327191,1,1,0,0,57,1
129618,2,1,0,0,75,2
293566,1,1,0,0,57,1
131110,2,1,0,0,74,2
131110,2,1,0,0,76,2
327191,2,1,0,0,58,2
327191,1,1,0,0,57,1
139343,1,1,0,0,75,1
463487,1,1,0,0,54,1
463487,1,1,0,0,53,1
139343,1,1,0,0,76,1
35785,1,1,0,0,56,1
259100,2,1,0,0,66,2
259100,2,1,0,0,54,2
20596,1,1,3,3,84,1
100226,1,1,1,2,54,1
20596,1,1,2,3,93,1
252485,1,1,0,0,57,1
373174,2,1,0,0,54,2
370258,2,1,0,0,75,2
319523,2,1,0,0,62,2
320608,2,2,0,0,61,2
372652,1,1,0,0,50,1
56436,1,1,0,0,72,1
56436,1,1,0,0,68,1
419202,1,1,0,0,63,1
419202,1,1,0,0,67,1
44302,1,1,1,2,87,1
457723,2,1,0,0,72,2
457723,2,1,0,0,77,2
465083,2,1,0,0,65,2
357377,1,1,0,0,46,1
319089,1,1,0,0,95,1
165799,1,1,0,0,72,1
292834,1,1,0,0,67,1
283758,2,1,0,0,55,2
291732,1,1,0,0,73,1
291732,1,1,0,0,69,1
165799,1,1,0,0,66,1
305644,1,1,0,0,81,1
396247,1,1,0,0,47,1
70428,2,1,0,0,90,2
66102,1,1,0,0,58,1
9559,1,1,0,0,59,1
324488,2,1,0,0,55,2
155084,2,1,0,0,72,2
334972,2,1,0,0,59,2
260084,1,1,0,0,49,1
324624,1,1,0,0,55,1
372926,1,1,0,0,61,1
452413,1,1,2,2,60,1
452413,1,1,1,2,63,1
456811,2,1,0,0,96,2
31356,1,1,0,0,78,1
216737,1,1,0,0,94,1
312835,1,1,0,0,92,1
254527,2,1,3,3,88,2
312835,1,1,0,0,96,1
31356,2,2,0,0,74,2
81639,1,1,0,0,82,1
57946,2,1,0,0,76,2
53323,1,1,0,0,68,1
57946,2,1,0,0,84,2
198663,2,1,0,0,93,2
147120,2,1,0,0,75,2
109682,1,1,0,0,52,1
321313,2,1,0,0,84,2
377365,1,1,2,2,63,1
377365,1,1,2,3,72,1
394430,1,1,0,0,78,1
464404,1,1,2,3,66,1
430437,1,1,0,0,82,1
464404,2,1,2,3,64,2
425365,2,1,2,3,90,2
394430,1,1,0,0,79,1
803,1,1,0,0,85,1
243893,1,1,0,0,79,1
121859,2,1,0,0,72,2
206985,1,1,0,0,76,1
206985,1,1,0,0,72,1
69064,1,1,2,3,50,1
396038,1,1,0,0,57,1
301268,1,1,0,0,47,1
107817,1,1,0,0,84,1
301268,1,1,0,0,76,1
33773,2,1,0,0,92,2
301268,1,1,0,0,76,1
405667,1,1,0,0,74,1
463061,2,1,0,0,70,2
405667,1,1,0,0,50,1
291319,1,1,0,0,83,1
463061,1,1,0,0,66,1
405667,1,1,0,0,77,1
458325,1,1,2,2,67,1
459823,1,1,0,0,89,1
70828,1,1,3,3,58,1
458325,1,1,0,0,67,1
220370,1,1,0,0,60,1
220370,1,1,0,0,53,1
346386,1,1,0,0,73,1
340010,1,1,1,2,60,1
266422,1,1,0,0,83,1
396146,1,1,0,0,48,1
341443,2,1,0,0,65,2
341443,2,1,0,0,48,2
122755,1,1,0,0,57,1
340010,2,1,1,2,63,2
363536,1,1,0,0,53,1
